title,authors,journal,doi,all_authors
"Dissolved Organic Matter Composition and Environmental Characteristics of Lakes Across a Permafrost Gradient, Northwest Territories, Canada","H.S. Hutchins, Ryan, G. Leathers, Jeremy, Schiff, Sherry, ... , Aukes, Pieter Jan Karel (n=9)",Borealis,https://doi.org/10.5683/sp3/5owkls,"H.S. Hutchins, Ryan; G. Leathers, Jeremy; Schiff, Sherry; English, Michael; Schultz, Mackenzie; J. Venkiteswaran, Jason; Tank, Suzanne; Elgood, Richard; Aukes, Pieter Jan Karel"
Spatial distribution of composition and chemodiversity of surface water dissolved organic matter (DOM) over the upper reach of the Changjiang River,"Shujun Yin, Chenhui Wei, Yafang Liu, Dongqiang Zhu",Carbon Research,https://doi.org/10.1007/s44246-025-00223-7,Shujun Yin; Chenhui Wei; Yafang Liu; Dongqiang Zhu
Environmental and microbial factors shape dissolved organic matter across multiple ecosystems,"Bixi Guo, Yongqin Liu, Jianjun Wang, ... , Nianzhi Jiao (n=7)",Communications Earth & Environment,https://doi.org/10.1038/s43247-025-02848-3,Bixi Guo; Yongqin Liu; Jianjun Wang; Qiang Zheng; Quan Shi; Chen He; Nianzhi Jiao
Transformation characteristics of dissolved organic matter in ozone treatment unit of wastewater plants,"Wanli Zhang, Cheng Fangkui, Jinglin Zhu",DOAJ (DOAJ: Directory of Open Access Journals),https://doi.org/10.19965/j.cnki.iwt.2024-0438,Wanli Zhang; Cheng Fangkui; Jinglin Zhu
Separation and removal characteristics of pollutants in coagulation process of asphalt production wastewater,"Yue Cao, Shuai Zhu, JIANG Juntao, ... , XU Chunming (n=7)",DOAJ (DOAJ: Directory of Open Access Journals),https://doi.org/10.19965/j.cnki.iwt.2024-0715,Yue Cao; Shuai Zhu; JIANG Juntao; Z C Li; WANG Qinghong; C Chen; XU Chunming
Comprehensive effects of lake dredging on microbial community and dissolved organic matter compositions in surface sediments,"Hezhou Chen, Shaozhuang Guo, Songhe Zhang, ... , Jicheng Zhong (n=8)",Ecological Indicators,https://doi.org/10.1016/j.ecolind.2025.113566,Hezhou Chen; Shaozhuang Guo; Songhe Zhang; Yongsheng Tang; Tilang Zhang; Xin Lv; Dejin Wang; Jicheng Zhong
Scale Formation from Dissolved Organic Matter in SAGD Steam Generators─Part I: Acidic Species Characterized by FTICR-MS,"Ali Naderi, Thomas B. P. Oldenburg",Energy & Fuels,https://doi.org/10.1021/acs.energyfuels.5c01778,Ali Naderi; Thomas B. P. Oldenburg
Molecular mechanistic insights towards aggregation of nano-biochar moderated by aromatic components in dissolved organic matter,"Zheng Zhou, Meng Lu, Yu Huang, ... , Bo Pan (n=10)",Environment International,https://doi.org/10.1016/j.envint.2025.109350,Zheng Zhou; Meng Lu; Yu Huang; Zhao Changping; Yafeng Wang; Marc Pidou; Min Wu; Quan Chen; Paul Jeffrey; Bo Pan
GRSP-induced diversity change of dissolved organic matter enhances the availability of PAHs in soil,"Xian Zhou, Pengfei Li, Fredrick Owino Gudda, ... , Jian Wang (n=7)",Environmental Pollution,https://doi.org/10.1016/j.envpol.2025.126858,Xian Zhou; Pengfei Li; Fredrick Owino Gudda; Chao Qin; Ahmed Mosa; Wanting Ling; Jian Wang
Benthic biofilms as reservoirs of recalcitrant organic matter in freshwater reservoirs: insights from FT-ICR MS,"Ch. Tahir Mehmood, Yujian Dong, Huiyu Liu, ... , Olivier Habimana (n=8)",Environmental Research,https://doi.org/10.1016/j.envres.2025.122945,Ch. Tahir Mehmood; Yujian Dong; Huiyu Liu; Yu Han; Yan Wang; Yiwei Li; Yeyuan Xiao; Olivier Habimana
Microbial transformation of sulfur-containing dissolved organic matter in the intertidal zone of a mountainous river estuary responding to tidal fluctuation,"Longfei Wang, Guosheng Zhao, Weidong Guo, ... , Lihua Niu (n=6)",Environmental Research,https://doi.org/10.1016/j.envres.2025.121363,Longfei Wang; Guosheng Zhao; Weidong Guo; Yi Li; Jiaying Chen; Lihua Niu
Microbial processes dominate DOM degradation in alpine karst lakes over photochemical effects,"Qinqin You, Hanyong Zeng, Muhammad Ibrar, ... , Geng Sun (n=9)",Environmental Research,https://doi.org/10.1016/j.envres.2025.121812,Qinqin You; Hanyong Zeng; Muhammad Ibrar; Dalin Zhu; Demeng Zhao; Yutao Cao; Yunde Zhang; Yanbao Lei; Geng Sun
Unveiling the molecular composition of dissolved organic phosphorus in the freshwater-estuarine continuum using ultrahigh-resolution FT-ICR-MS,"Yanjiao Zhou, Liyang Yang, Fu‐Tao Fang, ... , ⎜Zhuoyi Zhu (n=6)",Environmental Research,https://doi.org/10.1016/j.envres.2025.123352,Yanjiao Zhou; Liyang Yang; Fu‐Tao Fang; Yuqing Li; Wan-E Zhuang; ⎜Zhuoyi Zhu
Molecular Alteration of Dissolved Organic Matter in Intertidal Sediments: The Role of Fe(II) Reoxidation,"Huifang XIAO, Zhe Zhou, Jiangtao Li, Shouye Yang",Environmental Science & Technology,https://doi.org/10.1021/acs.est.5c06631,Huifang XIAO; Zhe Zhou; Jiangtao Li; Shouye Yang
Unveiling Molecular Constraints on the Formation and Fate of Organoiodine Compounds under Aquifer Conditions,"Jiangkai Xue, Yamin Deng, Qing‐Long Fu, ... , Yanxin Wang (n=6)",Environmental Science & Technology,https://doi.org/10.1021/acs.est.5c05558,Jiangkai Xue; Yamin Deng; Qing‐Long Fu; Yao Du; Jianbo Shi; Yanxin Wang
Toward the Chemogeography of Dissolved Organic Matter in the Global Ocean,"Jianjun Wang, Ang Hu, Yifan Cui, ... , Nianzhi Jiao (n=9)",Environmental Science & Technology,https://doi.org/10.1021/acs.est.5c02477,Jianjun Wang; Ang Hu; Yifan Cui; Sarah K. Bercovici; Xiancai Lu; Jay T. Lennon; Janne Soininen; Yongqin Liu; Nianzhi Jiao
Ferrous Oxidation-Driven Adsorptive and Oxidative Transformation Boosts Electron Exchange Capacity of Dissolved Organic Matter: Environmental Implications,"Kai Liu, Jialin Chi, Liping Fang, ... , Fangbai Li (n=8)",Environmental Science & Technology,https://doi.org/10.1021/acs.est.5c13400,Kai Liu; Jialin Chi; Liping Fang; Minwen Huang; Shiyin Wu; Xiangjun Meng; Thomas Borch; Fangbai Li
