year,title,authors_short,all_authors,journal,doi,subdisciplines,n_subdisciplines
2022,The impact of natural sunlight irradiation on the biotoxicities of different molecular sizes EfOM/SRNOM and its relationship with spectral and molecular level parameters,"Y. Xiaoyan, Wenfeng Chen, Lei Tang et al. (n=6)",Y. Xiaoyan; Wenfeng Chen; Lei Tang; Yongkun K Wang; Mengkai Li; Xiaochang C. Wang,The Science of The Total Environment,https://doi.org/10.1016/j.scitotenv.2022.156972,biogeochem_carbon; microbial_coupling; wastewater_drinking,3
2022,Molecular-level investigation into UV-induced transformation of hydrophobic aquatic dissolved organic matter,"Suona Zhang, Zhineng Hao, Jingfu Liu et al. (n=4)",Suona Zhang; Zhineng Hao; Jingfu Liu; Jean‐Philippe Croué,The Science of The Total Environment,https://doi.org/10.1016/j.scitotenv.2022.156959,atmosphere_aerosol; biogeochem_carbon; estuary_coastal; marine,4
2022,Comprehensive assessment of dissolved organic matter processing in the Amazon River and its major tributaries revealed by positive and negative electrospray mass spectrometry and NMR spectroscopy,"Siyu Li, Mourad Harir, Philippe Schmitt‐Kopplin et al. (n=9)",Siyu Li; Mourad Harir; Philippe Schmitt‐Kopplin; Michael Gonsior; Alex Enrich-Prast; David Bastviken; Juliana Valle; Fausto Machado‐Silva; Norbert Hertkorn,The Science of The Total Environment,https://doi.org/10.1016/j.scitotenv.2022.159620,biogeochem_carbon; disturbance_anthropogenic; estuary_coastal; freshwater_river; marine; methods_instrumentation,6
2022,Molecular-level characterization of natural organic matter in the reactive electrochemical ceramic membrane system for drinking water treatment using FT-ICR MS,"Tahir Maqbool, Mingming Sun, Li Chen et al. (n=4)",Tahir Maqbool; Mingming Sun; Li Chen; Zhenghua Zhang,The Science of The Total Environment,https://doi.org/10.1016/j.scitotenv.2022.157531,biogeochem_carbon; wastewater_drinking,2
2022,Impact of ozone treatment on dissolved organic matter in land-based recirculating aquaculture systems studied by Fourier transform ion cyclotron resonance mass spectrometry,"Patricia Aguilar-Alarcón, Alexander Zherebker, Anna A. Rubekina et al. (n=10)",Patricia Aguilar-Alarcón; Alexander Zherebker; Anna A. Rubekina; Evgeny A. Shirshin; Mads Adrian Simonsen; Jelena Kolarevic; Carlo C. Lazado; Е. Н. Николаев; Alexandros G. Asimakopoulos; Øyvind Mikkelsen,The Science of The Total Environment,https://doi.org/10.1016/j.scitotenv.2022.157009,biogeochem_carbon; wastewater_drinking,2
2022,Molecular characterization of disinfection byproduct precursors in filter backwash water from 10 drinking water treatment plants,"Yunkun Qian, Yijun Shi, Jun Guo et al. (n=6)",Yunkun Qian; Yijun Shi; Jun Guo; Yanan Chen; David Hanigan; Dong An,The Science of The Total Environment,https://doi.org/10.1016/j.scitotenv.2022.159027,biogeochem_carbon; wastewater_drinking,2
2022,Chemodiversity of dissolved organic matter in cadmium-contaminated paddy soil amended with different materials,"Huilong Luo, Ping Du, Panpan Wang et al. (n=8)",Huilong Luo; Ping Du; Panpan Wang; Juan Chen; Yake Li; Hongqi Wang; Yanguo Teng; Fasheng Li,The Science of The Total Environment,https://doi.org/10.1016/j.scitotenv.2022.153985,soil_terrestrial,1
2022,Molecular level characterization of the biolability of rainwater dissolved organic matter,"Hongyan Bao, Jing Qiao, Dekun Huang et al. (n=9)",Hongyan Bao; Jing Qiao; Dekun Huang; Jutta Niggemann; Yuanbi Yi; Weiqiang Zhao; Silin Ni; Thorsten Dittmar; Shuh‐Ji Kao,The Science of The Total Environment,https://doi.org/10.1016/j.scitotenv.2022.160709,atmosphere_aerosol; biogeochem_carbon; estuary_coastal; marine,4
2022,"Interactions of anthropogenic and terrestrial sources drive the varying trends in molecular chemodiversity profiles of DOM in urban storm runoff, compared to land use patterns","Yi Zhu, Hao Chen, Qilong Jia et al. (n=5)",Yi Zhu; Hao Chen; Qilong Jia; Hui Liu; Jianfeng Ye,The Science of The Total Environment,https://doi.org/10.1016/j.scitotenv.2022.152990,biogeochem_carbon; disturbance_anthropogenic; estuary_coastal; marine; soil_terrestrial,5
2022,Unveiling the role of dissolved organic matter on phosphorus sorption and availability in a 5-year manure amended paddy soil,"Kejie Li, Qing-Fang Bi, Xipeng Liu et al. (n=7)",Kejie Li; Qing-Fang Bi; Xipeng Liu; Haibo Wang; Chengliang Sun; Yong‐Guan Zhu; Xianyong Lin,The Science of The Total Environment,https://doi.org/10.1016/j.scitotenv.2022.155892,disturbance_anthropogenic; soil_terrestrial,2
