year,title,authors_short,all_authors,journal,doi,openalex_id
2022,Imaging of Corticosteroids in Mouse Kidney Using Mass Spectrometry,"Ioannis Stasinopoulos, Shazia Khan, C. Logan Mackay et al. (n=6)",Ioannis Stasinopoulos; Shazia Khan; C. Logan Mackay; Roger Brown; Ruth Andrew; Matthew A. Bailey,The FASEB Journal,https://doi.org/10.1096/fasebj.2022.36.s1.r5834,https://openalex.org/W4225422797
2023,Data from Patterns of Carbon-Bound Exogenous Compounds in Patients with Lung Cancer and Association with Disease Pathophysiology,"Thomas Kunzke, Verena M. Prade, Achim Buck et al. (n=15)",Thomas Kunzke; Verena M. Prade; Achim Buck; Na Sun; Annette Feuchtinger; Marco Matzka; Isis E. Fernandez; Wim Wuyts; Maximilian Ackermann; Danny Jonigk; Michaela Aichler; Ralph A. Schmid; Oliver Eickelberg; Sabina Berezowska; Axel Walch,,https://doi.org/10.1158/0008-5472.c.6513588,https://openalex.org/W4392723455
2023,Data from Patterns of Carbon-Bound Exogenous Compounds in Patients with Lung Cancer and Association with Disease Pathophysiology,"Thomas Kunzke, Verena M. Prade, Achim Buck et al. (n=15)",Thomas Kunzke; Verena M. Prade; Achim Buck; Na Sun; Annette Feuchtinger; Marco Matzka; Isis E. Fernandez; Wim Wuyts; Maximilian Ackermann; Danny Jonigk; Michaela Aichler; Ralph A. Schmid; Oliver Eickelberg; Sabina Berezowska; Axel Walch,,https://doi.org/10.1158/0008-5472.c.6513588.v1,https://openalex.org/W4361823201
2023,Data from Soy Protein Isolate Protects Against Ethanol-Mediated Tumor Progression in Diethylnitrosamine-Treated Male Mice,"Kelly E. Mercer, Casey Pulliam, Leah Hennings et al. (n=8)",Kelly E. Mercer; Casey Pulliam; Leah Hennings; Keith Lai; Mario A. Cleves; Ellen Jones; Richard Drake; Martin J. J. Ronis,,https://doi.org/10.1158/1940-6207.c.6547145.v1,https://openalex.org/W4392703423
2023,Data from Soy Protein Isolate Protects Against Ethanol-Mediated Tumor Progression in Diethylnitrosamine-Treated Male Mice,"Kelly E. Mercer, Casey Pulliam, Leah Hennings et al. (n=8)",Kelly E. Mercer; Casey Pulliam; Leah Hennings; Keith Lai; Mario A. Cleves; Ellen Jones; Richard Drake; Martin J. J. Ronis,,https://doi.org/10.1158/1940-6207.c.6547145,https://openalex.org/W4392722349
2023,Maximizing chemical information obtained during surface analysis with laser desorption/ionization mass spectrometry,Andrew E. Paulson,Andrew E. Paulson,,https://doi.org/10.31274/td-20240329-493,https://openalex.org/W4393303879
2023,Patterns of Carbon-Bound Exogenous Compounds Impact Disease Pathophysiology in Lung Cancer Subtypes in Different Ways,"Jian Shen, Na Sun, Jun Wang et al. (n=12)",Jian Shen; Na Sun; Jun Wang; Philipp Zens; Thomas Kunzke; Achim Buck; Verena M. Prade; Qian Wang; Annette Feuchtinger; Ronggui Hu; Sabina Berezowska; Axel Walch,ACS Nano,https://doi.org/10.1021/acsnano.2c11161,https://openalex.org/W4386213019
2023,Spatialized Metabolomic Annotation Combining MALDI Imaging and Molecular Networks,"Marceau Levasseur, Édith Nicol, Nicolas Elie et al. (n=6)",Marceau Levasseur; Édith Nicol; Nicolas Elie; Emeline Houël; Véronique Éparvier; David Touboul,Analytical Chemistry,https://doi.org/10.1021/acs.analchem.3c03482,https://openalex.org/W4390096115
2023,Ultrahigh-Mass Resolution Mass Spectrometry Imaging with an Orbitrap Externally Coupled to a High-Performance Data Acquisition System,"Andrej Grgic, Konstantin O. Nagornov, Anton N. Kozhinov et al. (n=8)",Andrej Grgic; Konstantin O. Nagornov; Anton N. Kozhinov; Jesse A. Michael; Ian G. M. Anthony; Yury O. Tsybin; Ron M. A. Heeren; Shane R. Ellis,Analytical Chemistry,https://doi.org/10.1021/acs.analchem.3c04146,https://openalex.org/W4390047948
2023,Relative Quantification of Lipid Isomers in Imaging Mass Spectrometry Using Gas-Phase Charge Inversion Ion/Ion Reactions and Infrared Multiphoton Dissociation,"Julia R. Bonney, Woo-Young Kang, Jonathan T. Specker et al. (n=6)",Julia R. Bonney; Woo-Young Kang; Jonathan T. Specker; Zhongling Liang; Troy R. Scoggins; Boone M. Prentice,Analytical Chemistry,https://doi.org/10.1021/acs.analchem.3c03804,https://openalex.org/W4388896444
2023,Experimental Assessment of Mammalian Lipidome Complexity Using Multimodal 21 T FTICR Mass Spectrometry Imaging,"Gregory W. Vandergrift, Kevin Zemaitis, Dušan Veličković et al. (n=7)",Gregory W. Vandergrift; Kevin Zemaitis; Dušan Veličković; Jessica Lukowski; Ljiljana Paša‐Tolić; Christopher Anderton; William Kew,Analytical Chemistry,https://doi.org/10.1021/acs.analchem.3c00518,https://openalex.org/W4383711423
2023,Omics Scale Quantitative Mass Spectrometry Imaging of Lipids in Brain Tissue using a Multi-Class Internal Standard Mixture,"Michiel Vandenbosch, Shadrack M. Mutuku, Maria José Q. Mantas et al. (n=11)",Michiel Vandenbosch; Shadrack M. Mutuku; Maria José Q. Mantas; Nathan Heath Patterson; Tucker Hallmark; Marc Claesen; Ron M. A. Heeren; Nathan G. Hatcher; Nico Verbeeck; Kim Ekroos; Shane R. Ellis,bioRxiv (Cold Spring Harbor Laboratory),https://doi.org/10.1101/2023.06.21.546027,https://openalex.org/W4381890131
2023,193 nm ultraviolet photodissociation for the characterization of singly charged proteoforms generated by MALDI,"Kevin Zemaitis, Mowei Zhou, William Kew et al. (n=4)",Kevin Zemaitis; Mowei Zhou; William Kew; Ljiljana Paša‐Tolić,ChemRxiv,https://doi.org/10.26434/chemrxiv-2022-rctz4-v2,https://openalex.org/W4313648067
2023,Chemical imaging of sphingolipids and phospholipids at the single amyloid-β plaque level in post-mortem human Alzheimer’s disease brain,"Wojciech Michno, Andrew P. Bowman, Durga Jha et al. (n=11)",Wojciech Michno; Andrew P. Bowman; Durga Jha; Karolina Minta; Junyue Ge; Srinivas Koutarapu; Henrik Zetterberg; Kaj Blennow; Tammaryn Lashley; Ron M. A. Heeren; Jörg Hanrieder,ChemRxiv,https://doi.org/10.26434/chemrxiv-2023-zt864,https://openalex.org/W4387501000
2023,400-P: Spatial Metabolomics Analysis by MSI-DeepPath Identifies Key Pathways in ZDF Diabetic Kidney Disease Model,"LEILA HEJAZI, SHOBA SHARMA, A. López Ruiz et al. (n=6)",LEILA HEJAZI; SHOBA SHARMA; A. López Ruiz; Guanshi Zhang; Fábio C. Tucci; KUMAR SHARMA,Diabetes,https://doi.org/10.2337/db23-400-p,https://openalex.org/W4381376548
2023,Spatially Resolved Co-Imaging of Polyhalogenated Xenobiotics and Endogenous Metabolites Reveals Xenobiotic-Induced Metabolic Alterations,"Yixuan Huang, Hailin Shang, Chao Wang et al. (n=9)",Yixuan Huang; Hailin Shang; Chao Wang; Hongyang Cui; Song Tang; Hong Chang; Hui Yang; Xudong Jia; Yi Wan,Environmental Science & Technology,https://doi.org/10.1021/acs.est.3c05817,https://openalex.org/W4388823247
2023,Metabolic heterogeneity in adrenocortical carcinoma impacts patient outcomes,"Qian Wang, Na Sun, Raphael Meixner et al. (n=15)",Qian Wang; Na Sun; Raphael Meixner; Ronan Le Gleut; Thomas Kunzke; Annette Feuchtinger; Jun Wang; Jian Shen; Stefan Kircher; Ulrich Dischinger; Isabel Weigand; Felix Beuschlein; Martin Faßnacht; Matthias Kroiß; Axel Walch,JCI Insight,https://doi.org/10.1172/jci.insight.167007,https://openalex.org/W4386022327
2023,193 nm Ultraviolet Photodissociation for the Characterization of Singly Charged Proteoforms Generated by MALDI,"Kevin Zemaitis, Mowei Zhou, William Kew et al. (n=4)",Kevin Zemaitis; Mowei Zhou; William Kew; Ljiljana Paša‐Tolić,Journal of the American Society for Mass Spectrometry,https://doi.org/10.1021/jasms.2c00302,https://openalex.org/W4313829886
2023,Achieving Sub-Parts-per-Million Mass Measurement Accuracy on an Orbitrap Mass Spectrometry Imaging Platform without Automatic Gain Control,"Russell R. Kibbe, David C. Muddiman",Russell R. Kibbe; David C. Muddiman,Journal of the American Society for Mass Spectrometry,https://doi.org/10.1021/jasms.3c00004,https://openalex.org/W4366985469
2023,MS1-Based Data Analysis Approaches for FFPE Tissue Imaging of Endogenous Peptide Ions by Mass Spectrometry Histochemistry (MSHC),"Nivedita Bhattacharya, Konstantin O. Nagornov, Kenneth Verheggen et al. (n=6)",Nivedita Bhattacharya; Konstantin O. Nagornov; Kenneth Verheggen; Marthe Verhaert; Raf Sciot; Peter Verhaert,Methods in molecular biology,https://doi.org/10.1007/978-1-0716-3319-9_16,https://openalex.org/W4383302749
2023,Single‐filament imaging mass spectrometry lipidomics in <i>Arthrospira platensis</i>,"Kaitlin C. Lesco, Steven M. Rowland, S. Kim Ratanathanawongs Williams et al. (n=4)",Kaitlin C. Lesco; Steven M. Rowland; S. Kim Ratanathanawongs Williams; Lieve M. L. Laurens,Rapid Communications in Mass Spectrometry,https://doi.org/10.1002/rcm.9525,https://openalex.org/W4366083196
2023,Guinea Pig Skin &amp; Tick Bite Site - MSI Raw Data Files,Alison Scott,Alison Scott,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.7909128,https://openalex.org/W4393402346
2023,Guinea Pig Skin &amp; Tick Bite Site - MSI Raw Data Files,Alison Scott,Alison Scott,Zenodo (CERN European Organization for Nuclear Research),https://doi.org/10.5281/zenodo.7909129,https://openalex.org/W4393731785
